assembly_ID	tAI_mean
GCA_000182895	0.330625248337718
GCA_000230625	0.499175756291115
GCA_000708205	0.398379214929908
GCA_000739165	0.369426514621808
GCA_001642395	0.425545792688109
GCA_001929475	0.589204865945839
GCA_001970855	0.46892823583322
GCA_002104895	0.106740558818497
GCA_002105175	0.390887851854156
GCA_002705745	0.353067348899193
GCA_002708625	0.400280480866241
GCA_003097675	0.492471828315431
GCA_006535975	0.418420189376536
GCA_009809945	0.0367923770786607
GCA_014805555	0.474013084168792
GCA_014839935	0.416104021607316
GCA_015499985	0.298788208329077
GCA_016098005	0.317816404633405
GCA_016098025	0.359198673525434
GCA_000002945	0.434832037883638
GCA_000150675	0.424827041685412
GCA_000209485	0.172645198694626
GCA_000219625	0.0104399539482043
GCA_000439145	0.262309615564584
GCA_000738915	0.439631082670614
GCA_000803265	0.492653903353596
GCA_000950595	0.420701972887324
GCA_001432165	0.260817517818885
GCA_001574975	0.324727871513284
GCA_002261195	0.564565295977509
GCA_002794465	0.485049893774761
GCA_003614145	0.302953296791941
GCA_004325075	0.295455259297469
GCA_015039355	0.223560816965463
GCA_015500005	0.329037300065825
GCA_015529515	0.297832414013024
GCA_016097755	0.439516764100216
GCA_016256075	0.391696261735796
GCA_000149335	0.478329560168065
GCA_000182965	0.396390770527187
GCA_000192795	0.418897776533366
GCA_000400465	0.355622119298802
GCA_000938895	0.408267608263518
GCA_001477545	0.681894757480765
GCA_001953115	0.475940688055438
GCA_002104945	0.0671809975654851
GCA_003086725	0.371824158603334
GCA_003550305	0.12101627470329
GCA_003615045	0.373352731084822
GCA_003990785	0.435011391237074
GCA_015502575	0.31840532043412
GCA_015679585	0.387773534962764
GCA_015679605	0.326551972462879
GCA_015680635	0.373290679711096
GCA_016097715	0.385638283950623
GCA_016098085	0.322140612991948
GCA_019456465	0.227672972306015
GCA_000146465	0.493699952775657
GCA_000146945	0.39853444644699
GCA_000149205	0.425806450350323
GCA_000225545	0.322527126982734
GCA_000385875	0.459100347751346
GCA_000447185	0.385725685304971
GCA_000988165	0.408322216287075
GCA_002104905	0.303128391144538
GCA_002105135	0.389229255777245
GCA_002105155	0.415885847495748
GCA_003086735	0.51237458822399
GCA_003614735	0.291471565729835
GCA_003614755	0.435642638635246
GCA_006535955	0.349086806580431
GCA_014805705	0.380049378685762
GCA_015502465	0.261688068749767
GCA_015679515	0.395677049589744
GCA_015852425	0.252315169897126
GCA_016098045	0.405114749699641
GCA_000146045	0.39157587011575
GCA_000149305	0.366177009346043
GCA_000149845	0.116923029952035
GCA_000151645	0.13954742061531
GCA_000181695	0.342675272103396
GCA_000204055	0.398062749850714
GCA_000442015	0.411785407873115
GCA_000711695	0.372533038766811
GCA_002157105	0.123267496190427
GCA_003325435	0.376468253648356
GCA_003614675	0.388389287942414
GCA_003614705	0.315395585909684
GCA_004325065	0.37498972032828
GCA_012184315	0.353850839218708
GCA_015499975	0.267761593833593
GCA_015502485	0.356042262938618
GCA_015679545	0.230517600937157
GCA_015852385	0.257018397425759
GCA_016758935	0.397623916957976
GCA_000167675	0.396784338029717
GCA_000218685	0.0304910659657473
GCA_000231115	0.508345774097734
GCA_000250985	0.462574206215054
GCA_002081675	0.512023984492499
GCA_002087885	0.340728934653857
GCA_002102555	0.164871170815122
GCA_002104935	0.422495843494872
GCA_002104995	0.287701919524125
GCA_003550325	0.0596101018691332
GCA_003990745	0.33907797583607
GCA_012184305	0.429235298353429
GCA_015529795	0.399730732638806
GCA_015849295	0.442760802997845
GCA_015849325	0.353216442593026
GCA_016097735	0.436998895813408
GCA_016097895	0.350705095439851
GCA_016097935	0.314808600231795
GCA_016758895	0.459106527017743
GCA_000149245	0.270851305374372
GCA_000151295	0.279950336564243
GCA_000203795	0.384456599749301
GCA_000328475	0.429985590606247
GCA_001566745	0.425345657549172
GCA_002087915	0.247115602277736
GCA_003086715	0.488222528268255
GCA_003549995	0.341017614686663
GCA_015502475	0.391837466615879
GCA_015680625	0.388114887009211
GCA_015852495	0.278222613845592
GCA_016097855	0.378762047830201
GCA_016098015	0.335849176914974
GCA_016098105	0.379214651338407
GCA_016098165	0.437269782043375
GCA_016758945	0.104319756137808
GCA_016758965	0.344400380132695
GCA_016906535	0.380837574334987
GCA_019671135	0.343250530695896
GCA_000182925	0.36401023520445
GCA_000230595	0.201765937031283
GCA_000383075	0.383337389397556
GCA_001875675	0.457865212699458
GCA_001969505	0.40991826857013
GCA_003547095	0.259449796478479
GCA_006535965	0.400701772313875
GCA_006535985	0.323996898952353
GCA_006536005	0.326564473118678
GCA_015500155	0.253788876536981
GCA_015502505	0.232967674110798
GCA_015529505	0.36727467459159
GCA_015679695	0.314849245478258
